province,id,type,price,rooms,latitude,longitude,postal_code
Girona,105959990,Piso,650,1,"41,7000123","2,8460582",17310
Girona,95714580,Piso,2250,4,"41,9847333","2,814119",17001
Girona,105952474,Chalet,1300,4,"41,692305","2,8142977",17310
Girona,106854439,Chalet,3500,4,"41,99386","2,7632399",17150
Girona,106935251,Piso,800,3,"41,6734943","2,7893092",17300
Girona,102220617,Casa Rural,9950,4,"42,0122636","3,162819",17130
Girona,106935085,Piso,670,1,"41,9836189","2,8225945",17001
Girona,105267089,Piso,1450,4,"41,9788439","2,814027",17005
Girona,106935165,Piso,1000,3,"42,2668499","2,9592538",17600
Girona,106934793,Estudio,660,0,"42,006346","2,8243466",17007
Girona,103969877,Chalet,950,1,"41,8852565","2,8741978",17244
Girona,106933969,Chalet,950,3,"41,744939","2,7116997",17412
Girona,101340094,Piso,820,3,"41,8261791","2,8936355",17240
Girona,106931356,Piso,1900,3,"41,9896713","2,8265134",17007
Girona,106931301,Piso,1800,3,"41,9897807","2,8301663",17004
Girona,106930463,Piso,600,1,"41,8189704","3,063588",17248
Girona,86573738,Piso,950,4,"41,8497851","3,1152769",17251
Girona,104157756,Piso,800,3,"42,4334942","1,9292136",17520
Girona,105022611,Piso,850,2,"42,2670917","3,149929",17480
Girona,106921394,Chalet,2000,4,"42,3435748","3,2021637",17489
Girona,106921330,Piso,1200,2,"41,7820533","3,0300208",17220
Girona,105544083,Piso,850,1,"41,8158228","3,0658249",17250
Girona,106761485,Piso,780,4,"41,8896193","2,7409727",17185
Girona,106933731,Chalet,950,3,"41,7527377","2,7132707",17412
Girona,106813440,Piso,681,1,"41,6677404","2,7838745",17300
Girona,106937935,Piso,700,2,"41,7221484","2,5478629",17404
Girona,101983236,Piso,1000,2,"41,8190806","3,0653567",17248
Girona,104445002,Casa Rural,20000,5,"41,980096","3,1690788",17256
Girona,104995962,Casa Rural,14000,4,"41,980096","3,1690788",17256
Girona,105588841,Piso,6600,2,"41,9787123","3,2063534",17213
Girona,89776186,Chalet,15200,3,"41,96714","3,20329",17213
Girona,104518803,Chalet,3600,5,"41,9280713","3,2135201",17213
Girona,101046804,Chalet,3000,7,"41,8318663","3,0762628",17252
Girona,105638086,Piso,1500,2,"41,9862375","2,8249997",17004
Girona,103208310,Ático,950,0,"42,4287815","1,9179016",17520
Girona,102477519,Piso,1324,4,"41,9802457","2,8215592",17001
Girona,89752314,Chalet,22600,4,"41,97402","3,2037",17213
Girona,106295933,Chalet,2500,3,"41,9717669","2,822415",17003
Girona,106219764,Ático,2400,5,"41,9817169","2,8211314",17001
Girona,106463968,Piso,790,2,"41,749473","2,9665343",17320
Girona,106775926,Piso,1150,2,"41,9817981","2,8225122",17001
Girona,106832163,Casa Rural,1105,3,"41,9232865","3,2053072",17212
Girona,106588487,Chalet,3000,4,"42,3324802","3,194447",17489
Girona,106707109,Duplex,2200,4,"41,9745478","2,8214389",17002
Girona,106813540,Chalet,2950,4,"41,9936732","2,7633735",17150
Girona,106613678,Chalet,1300,1,"41,9951629","2,7989524",17007
Girona,104746679,Casa Rural,2500,3,"42,0787186","2,4953087",17174
Girona,104728008,Casa Rural,4800,6,"42,1206319","2,7164182",17834
Girona,103671728,Piso,2400,3,"41,9784171","2,8178955",17002
Girona,106846168,Ático,1250,2,"41,8558218","3,1171904",17252
Girona,106898113,Chalet,1450,3,"41,8421553","2,8086831",17455
Girona,106466845,Piso,1800,3,"41,8391564","3,0959797",17251
Girona,106421776,Piso,1085,3,"41,9834252","2,8214507",17001
Girona,106815409,Piso,1950,3,"41,9806954","2,8239107",17002
Girona,105620160,Chalet,3300,2,"41,9787123","3,2063534",17213
Girona,106855510,Piso,1325,3,"41,9684675","2,8161721",17003
Girona,105113238,Casa Rural,1400,4,"42,33028","2,85668",17723
Girona,106886027,Piso,3500,3,"42,4318965","1,9259343",17520
Girona,106886028,Piso,1800,2,"42,4339488","1,9271423",17520
Girona,106885767,Piso,1800,2,"42,4327948","1,9249001",17520
Girona,106333784,Chalet,900,6,"42,1410472","2,4604593",17178
Girona,106678954,Piso,768,2,"42,1190169","2,7641613",17820
Girona,101532322,Chalet,3300,4,"41,7872862","3,0360036",17220
Girona,106640656,Piso,950,2,"42,3376103","1,9367071",17538
Girona,104609669,Chalet,3250,4,"42,4440173","1,7882959",
Girona,106879460,Chalet,3500,4,"41,9912094","2,7648239",17150
Girona,106329577,Piso,1125,2,"41,8160055","3,0626532",17248
Girona,105896354,Piso,3000,4,"41,8925359","3,1870112",17211
Girona,106488890,Piso,3500,4,"41,9536296","3,2010444",17213
Girona,101950028,Piso,1600,3,"41,8204745","3,0616915",17248
Girona,106579834,Piso,1250,2,"41,8198265","3,0708865",17248
